komsat;jns_karantina;komoditas;satuan;harga
bibit palem/kilogram;T;BIBIT PALEM;kilogram;25.149
bibit palem kuning/buah/butir/batang;T;BIBIT PALEM KUNING;buah/butir/batang;88.056
bibit palem merah/buah/butir/batang;T;BIBIT PALEM MERAH;buah/butir/batang;66.388
bibit palem syargus/kilogram;T;BIBIT PALEM SYARGUS;kilogram;43.949
bibit palem waregu/buah/butir/batang;T;BIBIT PALEM WAREGU;buah/butir/batang;123.321
bibit palm raphis/buah/butir/batang;T;BIBIT PALM RAPHIS;buah/butir/batang;39.652
bibit parsley moss curled/buah/butir/batang;T;BIBIT PARSLEY MOSS CURLED;buah/butir/batang;66.958
bibit petai/kilogram;T;BIBIT PETAI;kilogram;24.168
bibit phalaenopsis/botol;T;BIBIT PHALAENOPSIS;botol;50.000
bibit phalaenopsis/buah/butir/batang;T;BIBIT PHALAENOPSIS;buah/butir/batang;50.000
bibit philodendron/buah/butir/batang;T;BIBIT PHILODENDRON;buah/butir/batang;45.439
bibit pisang/meter kubik;T;BIBIT PISANG;meter kubik;345.076
bibit pisang/buah/butir/batang;T;BIBIT PISANG;buah/butir/batang;52.517
bibit pisang/carton;T;BIBIT PISANG;carton;1
bibit platycodon/buah/butir/batang;T;BIBIT PLATYCODON;buah/butir/batang;52.500
bibit puring jet/buah/butir/batang;T;BIBIT PURING JET;buah/butir/batang;91.644
bibit rambutan/buah/butir/batang;T;BIBIT RAMBUTAN;buah/butir/batang;75.741
bibit rambutan/gram;T;BIBIT RAMBUTAN;gram;1
bibit rambutan/kilogram;T;BIBIT RAMBUTAN;kilogram;36.215
bibit saintpaulia/buah/butir/batang;T;BIBIT SAINTPAULIA;buah/butir/batang;10.650
bibit salak/buah/butir/batang;T;BIBIT SALAK;buah/butir/batang;22.830
bibit salak/gram;T;BIBIT SALAK;gram;1
bibit salak/kilogram;T;BIBIT SALAK;kilogram;43.727
bibit salam/buah/butir/batang;T;BIBIT SALAM;buah/butir/batang;38.659
bibit sansevieria/buah/butir/batang;T;BIBIT SANSEVIERIA;buah/butir/batang;44.523
bibit sawi/kilogram;T;BIBIT SAWI;kilogram;26.797
bibit sawo/buah/butir/batang;T;BIBIT SAWO;buah/butir/batang;56.555
bibit sawo/gram;T;BIBIT SAWO;gram;1
bibit sawo/kilogram;T;BIBIT SAWO;kilogram;38.430
bibit scindapsus/buah/butir/batang;T;BIBIT SCINDAPSUS;buah/butir/batang;49.425
bibit sianto/gram;T;BIBIT SIANTO;gram;1
bibit singkong/buah/butir/batang;T;BIBIT SINGKONG;buah/butir/batang;50.000
bibit singkong/kemasan;T;BIBIT SINGKONG;kemasan;16.700
bibit sirih/buah/butir/batang;T;BIBIT SIRIH;buah/butir/batang;38.435
bibit sirih/kemasan;T;BIBIT SIRIH;kemasan;10.000
bibit soka/buah/butir/batang;T;BIBIT SOKA;buah/butir/batang;17.900
bibit soka/gram;T;BIBIT SOKA;gram;1
bibit sticherus/kilogram;T;BIBIT STICHERUS;kilogram;50.000
bibit strawberry/botol;T;BIBIT STRAWBERRY;botol;50.000
bibit strawberry/buah/butir/batang;T;BIBIT STRAWBERRY;buah/butir/batang;50.000
bibit strawberry/gram;T;BIBIT STRAWBERRY;gram;1
bibit strawberry/kilogram;T;BIBIT STRAWBERRY;kilogram;50.000
bibit sukun/buah/butir/batang;T;BIBIT SUKUN;buah/butir/batang;47.826
bibit syngonium/buah/butir/batang;T;BIBIT SYNGONIUM;buah/butir/batang;35.014
bibit tanaman aquarium/kilogram;T;BIBIT TANAMAN AQUARIUM;kilogram;113.308
bibit tanaman aquarium/buah/butir/batang;T;BIBIT TANAMAN AQUARIUM;buah/butir/batang;40.210
bibit tanaman aquarium/kemasan;T;BIBIT TANAMAN AQUARIUM;kemasan;20.455
bibit tanaman aquarium/gram;T;BIBIT TANAMAN AQUARIUM;gram;1
bibit tanaman buah/kilogram;T;BIBIT TANAMAN BUAH;kilogram;891.511
bibit tanaman buah/buah/butir/batang;T;BIBIT TANAMAN BUAH;buah/butir/batang;14.016
bibit tanaman buah/gram;T;BIBIT TANAMAN BUAH;gram;1
bibit tanaman hias/kilogram;T;BIBIT TANAMAN HIAS;kilogram;253.477
bibit tanaman hias/buah/butir/batang;T;BIBIT TANAMAN HIAS;buah/butir/batang;42.124
bibit tanaman hias/kemasan;T;BIBIT TANAMAN HIAS;kemasan;33.750
bibit tanaman hias/gram;T;BIBIT TANAMAN HIAS;gram;1
bibit tanaman obat/kilogram;T;BIBIT TANAMAN OBAT;kilogram;60.000
bibit tanaman obat/buah/butir/batang;T;BIBIT TANAMAN OBAT;buah/butir/batang;40.000
bibit tanaman obat/vial;T;BIBIT TANAMAN OBAT;vial;20.830
bibit tananaman vanda/buah/butir/batang;T;BIBIT TANANAMAN VANDA;buah/butir/batang;35.000
bibit tananaman vanda/number of packs;T;BIBIT TANANAMAN VANDA;number of packs;1
bibit tananaman vanda/kilogram;T;BIBIT TANANAMAN VANDA;kilogram;35.000
bibit tebu/box;T;BIBIT TEBU;box;631.987
bibit tebu/buah/butir/batang;T;BIBIT TEBU;buah/butir/batang;8.286
bibit teh/kilogram;T;BIBIT TEH;kilogram;51.235
bibit teh/buah/butir/batang;T;BIBIT TEH;buah/butir/batang;50.000
bibit teratai/buah/butir/batang;T;BIBIT TERATAI;buah/butir/batang;20.000
bibit teratai/kilogram;T;BIBIT TERATAI;kilogram;1
bibit terong/kilogram;T;BIBIT TERONG;kilogram;28.521
bibit tomat/kilogram;T;BIBIT TOMAT;kilogram;52.708
bibit ubi jalar/kilogram;T;BIBIT UBI JALAR;kilogram;43.316
bibit walisongo/buah/butir/batang;T;BIBIT WALISONGO;buah/butir/batang;36.000
bibit zamia/buah/butir/batang;T;BIBIT ZAMIA;buah/butir/batang;71.765
bidara/jujube/buah/butir/batang;T;BIDARA/JUJUBE;buah/butir/batang;40.000
bidara/jujube/kilogram;T;BIDARA/JUJUBE;kilogram;47.096
biji basil/kilogram;T;BIJI BASIL;kilogram;101.233
biji basil/ton;T;BIJI BASIL;ton;1
biji bunga matahari/kilogram;T;BIJI BUNGA MATAHARI;kilogram;375.000
biji bunga matahari/buah/butir/batang;T;BIJI BUNGA MATAHARI;buah/butir/batang;125.000
biji bunga matahari/bag;T;BIJI BUNGA MATAHARI;bag;1
biji bunga matahari/ton;T;BIJI BUNGA MATAHARI;ton;1
biji canola/kilogram;T;BIJI CANOLA;kilogram;175.439
biji chia/ton;T;BIJI CHIA;ton;1
biji chia/kilogram;T;BIJI CHIA;kilogram;45.000
biji gebang/tanaman gebang/gram;T;BIJI GEBANG/TANAMAN GEBANG;gram;1
biji gebang/tanaman gebang/ton;T;BIJI GEBANG/TANAMAN GEBANG;ton;1
biji gebang/tanaman gebang/kilogram;T;BIJI GEBANG/TANAMAN GEBANG;kilogram;15.587
biji hazel/gram;T;BIJI HAZEL;gram;1
biji hazel/kilogram;T;BIJI HAZEL;kilogram;33.178
biji kapas/buah/butir/batang;T;BIJI KAPAS;buah/butir/batang;20.000
biji kapas/kilogram;T;BIJI KAPAS;kilogram;30.864
biji kelampai/kilogram;T;BIJI KELAMPAI;kilogram;49.167
biji kenari/box;T;BIJI KENARI;box;43.805
biji kenari/set;T;BIJI KENARI;set;16.300
biji kenari/ton;T;BIJI KENARI;ton;1
biji kenari/kilogram;T;BIJI KENARI;kilogram;47.689
biji klabet/bag;T;BIJI KLABET;bag;1
biji klabet/ton;T;BIJI KLABET;ton;1
biji klabet/kilogram;T;BIJI KLABET;kilogram;26.614
biji lena/ton;T;BIJI LENA;ton;1
biji lena/kilogram;T;BIJI LENA;kilogram;34.087
bintangor/meter kubik;T;BINTANGOR;meter kubik;509.000
bintangor/buah/butir/batang;T;BINTANGOR;buah/butir/batang;46.916
bit gula/kilogram;T;BIT GULA;kilogram;30.000
black eye bean/kilogram;T;BLACK EYE BEAN;kilogram;35.000
bleaching earth/kilogram;T;BLEACHING EARTH;kilogram;4.000
blyxa/buah/butir/batang;T;BLYXA;buah/butir/batang;2.575
bonggol jagung giling/ton;T;BONGGOL JAGUNG GILING;ton;1
bonggol jagung giling/kilogram;T;BONGGOL JAGUNG GILING;kilogram;14.223
bonsai/kilogram;T;BONSAI;kilogram;1.000.000
bonsai/bag;T;BONSAI;bag;1.000.000
bonsai/buah/butir/batang;T;BONSAI;buah/butir/batang;1.000.000
bonsai cemara udang/kilogram;T;BONSAI CEMARA UDANG;kilogram;1.258.316
bonsai cemara udang/buah/butir/batang;T;BONSAI CEMARA UDANG;buah/butir/batang;80.000
bonsai kemuning/kilogram;T;BONSAI KEMUNING;kilogram;2.250.000
bonsai kimeng/buah/butir/batang;T;BONSAI KIMENG;buah/butir/batang;1.200.000
bonsai lohansung/buah/butir/batang;T;BONSAI LOHANSUNG;buah/butir/batang;1.483.080
bonsai mirten/buah/butir/batang;T;BONSAI MIRTEN;buah/butir/batang;5.090.000
bonsai pohon pule/buah/butir/batang;T;BONSAI POHON PULE;buah/butir/batang;2.808.590
bonsai pohon pule/meter kubik;T;BONSAI POHON PULE;meter kubik;1.788.271
bonsai sancang/buah/butir/batang;T;BONSAI SANCANG;buah/butir/batang;107.520
bonsai sancang/gram;T;BONSAI SANCANG;gram;1
bonsai waru/buah/butir/batang;T;BONSAI WARU;buah/butir/batang;150.000
boysenberry/kilogram;T;BOYSENBERRY;kilogram;1
brondolan kelapa sawit/botol;T;BRONDOLAN KELAPA SAWIT;botol;1
brondolan kelapa sawit/kilogram;T;BRONDOLAN KELAPA SAWIT;kilogram;7.937
brussels sprouts/kilogram;T;BRUSSELS SPROUTS;kilogram;1
buah alpukat/ton;T;BUAH ALPUKAT;ton;1.000.000
buah alpukat/mobil;T;BUAH ALPUKAT;mobil;1
buah alpukat/kilogram;T;BUAH ALPUKAT;kilogram;35.000
buah anggur/kilogram;T;BUAH ANGGUR;kilogram;87.000
buah anggur/ton;T;BUAH ANGGUR;ton;1.000.000
buah anggur/carton;T;BUAH ANGGUR;carton;87.000
buah anggur/buah/butir/batang;T;BUAH ANGGUR;buah/butir/batang;30.952
buah anggur/box;T;BUAH ANGGUR;box;1
buah anggur/kilogram;T;BUAH ANGGUR;kilogram per second;1
buah apel/kilogram;T;BUAH APEL;kilogram;50.000
buah apel/ton;T;BUAH APEL;ton;50.000.000
buah apel/buah/butir/batang;T;BUAH APEL;buah/butir/batang;50.000
buah apel/bag;T;BUAH APEL;bag;1
buah apel/kilogram;T;BUAH APEL;kilogram per second;1
buah apricot/kilogram;T;BUAH APRICOT;kilogram;65.000
buah ara, buah tin/figs kering atau kering dan manisan/kilogram;T;BUAH ARA, BUAH TIN/FIGS KERING ATAU KERING DAN MANISAN;kilogram;75.170
buah ara, buah tin/figs kering atau kering dan manisan/buah/butir/batang;T;BUAH ARA, BUAH TIN/FIGS KERING ATAU KERING DAN MANISAN;buah/butir/batang;75.170
buah asam/carton;T;BUAH ASAM;carton;121.000
buah asam/bag;T;BUAH ASAM;bag;1
buah asam/kilogram;T;BUAH ASAM;kilogram;42.658
buah beku/kilogram;T;BUAH BEKU;kilogram;52.749
buah belimbing/kilogram;T;BUAH BELIMBING;kilogram;55.621
buah blackberries/kilogram;T;BUAH BLACKBERRIES;kilogram;75.170
buah blueberry/kilogram;T;BUAH BLUEBERRY;kilogram;89.385
buah blueberry/ton;T;BUAH BLUEBERRY;ton;1.000.000
buah blueberry/carton;T;BUAH BLUEBERRY;carton;75.170
buah blueberry/case;T;BUAH BLUEBERRY;case;1
buah blueberry/gram;T;BUAH BLUEBERRY;gram;1
buah blueberry/metre per second;T;BUAH BLUEBERRY;metre per second;1
buah ceri/kilogram;T;BUAH CERI;kilogram;64.000
buah ceri/ton;T;BUAH CERI;ton;50.000.000
buah ceri/kemasan;T;BUAH CERI;kemasan;1
buah citrus/kilogram;T;BUAH CITRUS;kilogram;34.352
buah cranberry/carton;T;BUAH CRANBERRY;carton;1
buah cranberry/kilogram;T;BUAH CRANBERRY;kilogram;49.898
buah dabai/kilogram;T;BUAH DABAI;kilogram;68.180
buah duku/buah/butir/batang;T;BUAH DUKU;buah/butir/batang;1
buah duku/gram;T;BUAH DUKU;gram;1
buah duku/kilogram;T;BUAH DUKU;kilogram;25.000
buah durian/kilogram;T;BUAH DURIAN;kilogram;109.678
buah durian/ton;T;BUAH DURIAN;ton;50.000.000
buah durian/buah/butir/batang;T;BUAH DURIAN;buah/butir/batang;50.000
buah jambu/kilogram;T;BUAH JAMBU;kilogram;41.419
buah jambu air/kilogram;T;BUAH JAMBU AIR;kilogram;41.419
buah jeruk/ton;T;BUAH JERUK;ton;35.000.000
buah jeruk/box;T;BUAH JERUK;box;415.838
buah jeruk/meter kubik;T;BUAH JERUK;meter kubik;30.000
buah jeruk/basket;T;BUAH JERUK;basket;1
buah jeruk/kilogram;T;BUAH JERUK;kilogram per second;35.000
buah jeruk/kilogram;T;BUAH JERUK;kilogram;35.000
buah jeruk asam/kilogram;T;BUAH JERUK ASAM;kilogram;53.069
buah jeruk bali/kilogram;T;BUAH JERUK BALI;kilogram;67.099
buah jeruk keprok/ton;T;BUAH JERUK KEPROK;ton;29.146.000
buah jeruk keprok/carton;T;BUAH JERUK KEPROK;carton;1
buah jeruk keprok/kilogram;T;BUAH JERUK KEPROK;kilogram;29.146
buah jeruk kingkit/kilogram;T;BUAH JERUK KINGKIT;kilogram;43.000
buah jeruk kino/ton;T;BUAH JERUK KINO;ton;50.000.000
buah jeruk kino/kilogram;T;BUAH JERUK KINO;kilogram;38.634
buah jeruk lemon/ton;T;BUAH JERUK LEMON;ton;1.000.000
buah jeruk lemon/buah/butir/batang;T;BUAH JERUK LEMON;buah/butir/batang;20.816
buah jeruk lemon/kilogram;T;BUAH JERUK LEMON;kilogram per second;20.816
buah jeruk lemon/kilogram;T;BUAH JERUK LEMON;kilogram;20.816
buah jeruk lokam/kilogram;T;BUAH JERUK LOKAM;kilogram;35.000
buah jeruk mandarin/ton;T;BUAH JERUK MANDARIN;ton;1.000.000
buah jeruk mandarin/kilogram;T;BUAH JERUK MANDARIN;kilogram per second;35.000
buah jeruk mandarin/kilogram;T;BUAH JERUK MANDARIN;kilogram;35.000
buah jeruk manis/liter;T;BUAH JERUK MANIS;liter;1
buah jeruk manis/ton;T;BUAH JERUK MANIS;ton;35.000.000
buah jeruk manis/kilogram;T;BUAH JERUK MANIS;kilogram;35.000
buah jeruk nipis/carton;T;BUAH JERUK NIPIS;carton;530.667
buah jeruk nipis/box;T;BUAH JERUK NIPIS;box;500.000
buah jeruk nipis/kilogram;T;BUAH JERUK NIPIS;kilogram;20.000
buah jeruk purut/carton;T;BUAH JERUK PURUT;carton;752.621
buah jeruk purut/box;T;BUAH JERUK PURUT;box;456.408
buah jeruk purut/buah/butir/batang;T;BUAH JERUK PURUT;buah/butir/batang;6.250
buah jeruk purut/gram;T;BUAH JERUK PURUT;gram;1
buah jeruk purut/kilogram;T;BUAH JERUK PURUT;kilogram;36.031
buah kelengkeng/kilogram;T;BUAH KELENGKENG;kilogram per second;40.000
buah kelengkeng/ton;T;BUAH KELENGKENG;ton;40.000.000
buah kelengkeng/kilogram;T;BUAH KELENGKENG;kilogram;40.000
buah kemukus/gram;T;BUAH KEMUKUS;gram;1
buah kemukus/kilogram;T;BUAH KEMUKUS;kilogram;35.139
buah kismis kering/ton;T;BUAH KISMIS KERING;ton;35.139.000
buah kismis kering/kilogram;T;BUAH KISMIS KERING;kilogram;47.620
buah kiwi/kilogram;T;BUAH KIWI;kilogram;136.667
buah kiwi/kilogram;T;BUAH KIWI;kilogram per second;136.667
buah kiwi/ton;T;BUAH KIWI;ton;136.667.000
buah korma/kilogram;T;BUAH KORMA;kilogram;64.993
buah korma/ton;T;BUAH KORMA;ton;65.000.000
buah korma/box;T;BUAH KORMA;box;1
buah korma/carton;T;BUAH KORMA;carton;1
buah korma/kemasan;T;BUAH KORMA;kemasan;1
buah korma/kilogram;T;BUAH KORMA;kilogram per second;64.993
buah leci/ton;T;BUAH LECI;ton;45.000.000
buah leci/buah/butir/batang;T;BUAH LECI;buah/butir/batang;1
buah leci/gram;T;BUAH LECI;gram;1
buah leci/kilogram;T;BUAH LECI;kilogram;46.629
buah lontar/buah/butir/batang;T;BUAH LONTAR;buah/butir/batang;1
buah lontar/bale;T;BUAH LONTAR;bale;1
buah lontar/kilogram;T;BUAH LONTAR;kilogram;25.210
buah lou han/kilogram;T;BUAH LOU HAN;kilogram;50.000
buah mahkota dewa/gram;T;BUAH MAHKOTA DEWA;gram;1
buah mahkota dewa/kilogram;T;BUAH MAHKOTA DEWA;kilogram;44.299
buah mangga/ton;T;BUAH MANGGA;ton;30.000.000
buah mangga/gram;T;BUAH MANGGA;gram;1
buah mangga/kilogram;T;BUAH MANGGA;kilogram;30.000
buah manggis/box;T;BUAH MANGGIS;box;122.914
buah manggis/kemasan;T;BUAH MANGGIS;kemasan;56.657
buah manggis/buah/butir/batang;T;BUAH MANGGIS;buah/butir/batang;5.000
buah manggis/gram;T;BUAH MANGGIS;gram;1
buah manggis/kilogram;T;BUAH MANGGIS;kilogram;25.000
buah markisa/buah/butir/batang;T;BUAH MARKISA;buah/butir/batang;10.000
buah markisa/kilogram;T;BUAH MARKISA;kilogram;49.291
buah melon/kilogram;T;BUAH MELON;kilogram;21.034
buah mentawa/kilogram;T;BUAH MENTAWA;kilogram;28.533
buah merah/kilogram;T;BUAH MERAH;kilogram;130.000
buah merah/buah/butir/batang;T;BUAH MERAH;buah/butir/batang;25.000
buah merah/carton;T;BUAH MERAH;carton;1
buah naga/kemasan;T;BUAH NAGA;kemasan;169.500
buah naga/meter kubik;T;BUAH NAGA;meter kubik;108.330
buah naga/buah/butir/batang;T;BUAH NAGA;buah/butir/batang;40.000
buah naga/gram;T;BUAH NAGA;gram;1
buah naga/kilogram;T;BUAH NAGA;kilogram;25.779
buah nanas/meter kubik;T;BUAH NANAS;meter kubik;1.493.316
buah nanas/gram;T;BUAH NANAS;gram;1
buah nanas/kilogram;T;BUAH NANAS;kilogram;32.000
buah nangka/carton;T;BUAH NANGKA;carton;488.760
buah nangka/meter kubik;T;BUAH NANGKA;meter kubik;411.608
buah nangka/buah/butir/batang;T;BUAH NANGKA;buah/butir/batang;10.000
buah nangka/gram;T;BUAH NANGKA;gram;1
buah nangka/kilogram;T;BUAH NANGKA;kilogram;26.084
buah pala/kilogram;T;BUAH PALA;kilogram;44.963
buah passion/kilogram;T;BUAH PASSION;kilogram;44.113
buah peluntan/kilogram;T;BUAH PELUNTAN;kilogram;75.000
buah pepaya/buah/butir/batang;T;BUAH PEPAYA;buah/butir/batang;22.800
buah pepaya/kilogram;T;BUAH PEPAYA;kilogram;24.137
buah persik/kilogram;T;BUAH PERSIK;kilogram;50.000
buah persik/ton;T;BUAH PERSIK;ton;50.000.000
buah persik/buah/butir/batang;T;BUAH PERSIK;buah/butir/batang;1
buah pir/ton;T;BUAH PIR;ton;25.000.000
buah pir/buah/butir/batang;T;BUAH PIR;buah/butir/batang;20.000
buah pir/box;T;BUAH PIR;box;1
buah pir/carton;T;BUAH PIR;carton;1
buah pir/kilogram;T;BUAH PIR;kilogram of phosphorus pentoxide (phosphoric anhydride);31.515
buah pir/kilogram;T;BUAH PIR;kilogram per second;31.515
buah pir/kilogram;T;BUAH PIR;kilogram;31.515
buah pisang/carton;T;BUAH PISANG;carton;651.680
buah pisang/meter kubik;T;BUAH PISANG;meter kubik;441.766
buah pisang/box;T;BUAH PISANG;box;368.910
buah pisang/buah/butir/batang;T;BUAH PISANG;buah/butir/batang;7.167
buah pisang/gram;T;BUAH PISANG;gram;1
buah pisang/ton;T;BUAH PISANG;ton;25.000.000
buah pisang/kilogram;T;BUAH PISANG;kilogram;25.000
buah pisang beku/box;T;BUAH PISANG BEKU;box;290.951
buah pisang beku/kilogram;T;BUAH PISANG BEKU;kilogram;20.896
buah plum/kilogram;T;BUAH PLUM;kilogram;50.000
buah plum/case;T;BUAH PLUM;case;1
buah plum/kemasan;T;BUAH PLUM;kemasan;1
buah rambutan/buah/butir/batang;T;BUAH RAMBUTAN;buah/butir/batang;1
buah rambutan/box;T;BUAH RAMBUTAN;box;16.000
buah rambutan/gram;T;BUAH RAMBUTAN;gram;1
buah rambutan/kilogram;T;BUAH RAMBUTAN;kilogram;27.870
buah raspberry/kilogram;T;BUAH RASPBERRY;kilogram;75.000
buah raspberry/gram;T;BUAH RASPBERRY;gram;1
buah raspberry/ton;T;BUAH RASPBERRY;ton;75.000.000
buah salak/box;T;BUAH SALAK;box;60.259
buah salak/meter kubik;T;BUAH SALAK;meter kubik;28.532
buah salak/buah/butir/batang;T;BUAH SALAK;buah/butir/batang;3.000
buah salak/gram;T;BUAH SALAK;gram;1
buah salak/pound;T;BUAH SALAK;pound;1
buah salak/kilogram;T;BUAH SALAK;kilogram;25.348
buah sawo/kilogram;T;BUAH SAWO;kilogram;36.472
buah semangka/kemasan;T;BUAH SEMANGKA;kemasan;416.900
buah semangka/kilogram;T;BUAH SEMANGKA;kilogram;15.000
buah sirsak/buah/butir/batang;T;BUAH SIRSAK;buah/butir/batang;91.667
buah sirsak/gram;T;BUAH SIRSAK;gram;1
buah sirsak/kilogram;T;BUAH SIRSAK;kilogram;32.980
buah strawberry/ton;T;BUAH STRAWBERRY;ton;20.000.000
buah strawberry/carton;T;BUAH STRAWBERRY;carton;1
buah strawberry/kemasan;T;BUAH STRAWBERRY;kemasan;1
buah strawberry/kilogram;T;BUAH STRAWBERRY;kilogram;19.945
buah sukun/box;T;BUAH SUKUN;box;100.000
buah sukun/kilogram;T;BUAH SUKUN;kilogram;16.610
buah tampui/kilogram;T;BUAH TAMPUI;kilogram;10.246
buah tempayan/box;T;Buah Tempayan;box;10.000
buah tempayan/gram;T;Buah Tempayan;gram;1
buah tempayan/kilogram;T;Buah Tempayan;kilogram;43.325
buah terap/buah/butir/batang;T;BUAH TERAP;buah/butir/batang;10.000
buah terap/kilogram;T;BUAH TERAP;kilogram;22.121
buah-buahan/kilogram;T;BUAH-BUAHAN;kilogram;82.817
buah-buahan/buah/butir/batang;T;BUAH-BUAHAN;buah/butir/batang;75.000
buah-buahan/gram;T;BUAH-BUAHAN;gram;1
bubuk cabe/kilogram;T;BUBUK CABE;kilogram;103.733
bubuk cabe/box;T;BUBUK CABE;box;100.000
bubuk cabe/kemasan;T;BUBUK CABE;kemasan;15.000
bubuk cabe/bag;T;BUBUK CABE;bag;1
bubuk cabe/carton;T;BUBUK CABE;carton;1
bubuk cabe/gram;T;BUBUK CABE;gram;1
bubuk cabe/kilogram;T;BUBUK CABE;kilogram of phosphorus pentoxide (phosphoric anhydride);103.733
bubuk cabe/kilogram;T;BUBUK CABE;kilogram per second;103.733
bubuk cabe/ton;T;BUBUK CABE;ton;103.733.000
bubuk gandum/ton;T;BUBUK GANDUM;ton;10.000.000
bubuk gandum/bag;T;BUBUK GANDUM;bag;1
bubuk gandum/kilogram;T;BUBUK GANDUM;kilogram;10.000
bubuk jagung/meter kubik;T;BUBUK JAGUNG;meter kubik;19.200
bubuk jagung/bag;T;BUBUK JAGUNG;bag;1
bubuk jagung/carton;T;BUBUK JAGUNG;carton;1
bubuk jagung/gram;T;BUBUK JAGUNG;gram;1
bubuk jagung/kemasan;T;BUBUK JAGUNG;kemasan;1
bubuk jagung/ton;T;BUBUK JAGUNG;ton;10.000.000
bubuk jagung/kilogram;T;BUBUK JAGUNG;kilogram;22.457
bubuk jahe/kilogram;T;BUBUK JAHE;kilogram;94.369
bubuk jahe/buah/butir/batang;T;BUBUK JAHE;buah/butir/batang;1
bubuk jahe/bag;T;BUBUK JAHE;bag;1
bubuk jahe/carton;T;BUBUK JAHE;carton;1
bubuk jahe/gram;T;BUBUK JAHE;gram;1
bubuk jahe/kilogram;T;BUBUK JAHE;kilogram per second;94.369
bubuk jahe/ton;T;BUBUK JAHE;ton;94.369.000
bubuk kunyit/kilogram;T;BUBUK KUNYIT;kilogram;82.980
bubuk kunyit/box;T;BUBUK KUNYIT;box;50.000
bubuk kunyit/gram;T;BUBUK KUNYIT;gram;1
bubuk kunyit/ton;T;BUBUK KUNYIT;ton;82.980.000
bubuk laos/kilogram;T;BUBUK LAOS;kilogram;61.104
bubuk laos/gram;T;BUBUK LAOS;gram;1
bubuk moster/kilogram;T;BUBUK MOSTER;kilogram;185.000
bubuk rempah/kilogram;T;BUBUK REMPAH;kilogram;134.158
bubuk rempah/bag;T;BUBUK REMPAH;bag;1
bubuk rempah/carton;T;BUBUK REMPAH;carton;1
bubuk rempah/drum;T;BUBUK REMPAH;drum;1
bubuk rempah/kemasan;T;BUBUK REMPAH;kemasan;1
bubuk sayuran/kilogram;T;BUBUK SAYURAN;kilogram;216.330
bubuk sayuran/bag;T;BUBUK SAYURAN;bag;1
bubuk sayuran/carton;T;BUBUK SAYURAN;carton;1
bumbu macam-macam/kilogram;T;BUMBU MACAM-MACAM;kilogram;157.623
bumbu macam-macam/gram;T;BUMBU MACAM-MACAM;gram;1
bumbu macam-macam/kemasan;T;BUMBU MACAM-MACAM;kemasan;1
bumbu macam-macam/ton;T;BUMBU MACAM-MACAM;ton;1
bumbu pecel/box;T;BUMBU PECEL;box;50.000
bumbu pecel/kilogram;T;BUMBU PECEL;kilogram;5.000
bunga achillea/buah/butir/batang;T;BUNGA ACHILLEA;buah/butir/batang;50.000
bunga agonis/buah/butir/batang;T;BUNGA AGONIS;buah/butir/batang;16.667
bunga alium/buah/butir/batang;T;BUNGA ALIUM;buah/butir/batang;50.000
bunga alstroemeria/buah/butir/batang;T;BUNGA ALSTROEMERIA;buah/butir/batang;50.000
bunga amaranthus/buah/butir/batang;T;BUNGA AMARANTHUS;buah/butir/batang;34.810
bunga ammi majus/kilogram;T;BUNGA AMMI MAJUS;kilogram;50.000
bunga ammi majus/buah/butir/batang;T;BUNGA AMMI MAJUS;buah/butir/batang;16.667
bunga anggrek dendrobium/kilogram;T;BUNGA ANGGREK DENDROBIUM;kilogram;50.000
bunga anggrek dendrobium/buah/butir/batang;T;BUNGA ANGGREK DENDROBIUM;buah/butir/batang;46.211
bunga anggrek mukara/buah/butir/batang;T;BUNGA ANGGREK MUKARA;buah/butir/batang;77.273
bunga anggrek phalaenopsis/buah/butir/batang;T;BUNGA ANGGREK PHALAENOPSIS;buah/butir/batang;77.273
bunga anggrek vanda/kilogram;T;BUNGA ANGGREK VANDA;kilogram;66.667
bunga anggrek vanda/buah/butir/batang;T;BUNGA ANGGREK VANDA;buah/butir/batang;66.667
bunga anigozanthos/buah/butir/batang;T;BUNGA ANIGOZANTHOS;buah/butir/batang;66.667
bunga anthurium/buah/butir/batang;T;BUNGA ANTHURIUM;buah/butir/batang;33.838
bunga antirrhinum/buah/butir/batang;T;BUNGA ANTIRRHINUM;buah/butir/batang;8.000
bunga anyelir/kilogram;T;BUNGA ANYELIR;kilogram;50.000
bunga anyelir/buah/butir/batang;T;BUNGA ANYELIR;buah/butir/batang;4.453
bunga asparagus/kilogram;T;BUNGA ASPARAGUS;kilogram;50.000
bunga asparagus/buah/butir/batang;T;BUNGA ASPARAGUS;buah/butir/batang;8.000
bunga aspidistra/buah/butir/batang;T;BUNGA ASPIDISTRA;buah/butir/batang;8.000
bunga aster/buah/butir/batang;T;BUNGA ASTER;buah/butir/batang;8.000
bunga aster/bag;T;BUNGA ASTER;bag;50.000
bunga astilbe/kilogram;T;BUNGA ASTILBE;kilogram;50.000
bunga astilbe/buah/butir/batang;T;BUNGA ASTILBE;buah/butir/batang;8.000
bunga astrantia/buah/butir/batang;T;BUNGA ASTRANTIA;buah/butir/batang;8.000
bunga baby s breath/buah/butir/batang;T;BUNGA BABY S BREATH;buah/butir/batang;15.729
bunga banksia/buah/butir/batang;T;BUNGA BANKSIA;buah/butir/batang;8.000
